Annee;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017(p);2018(p)
F-32-Gers;19694;20259;20729;20836;21692;22137;22710;22963;23319;24027;24792;25488;25966;26931;27495;27581;28010;28541;28797;28756;28697;28645;28794;29041;29500;29352;29408;29785;29902;29952
F-34-Herault;105146;109060;113709;115682;118051;121697;126015;126737;128786;134873;137571;142923;148998;155179;158848;160851;164680;171294;177919;179370;182341;181659;181641;182107;183868;186045;188572;190889;194222;196095
F-46-Lot;19047;19848;20247;20790;21302;21797;22370;22640;23524;24206;24808;25220;25663;26737;27055;26885;27349;27515;27532;27189;27316;26612;26528;26589;26881;27195;27250;27484;27569;27204
F-48-Lozere;7930;8134;8658;8719;9099;9416;9500;9733;9929;9978;10565;10804;11041;11305;11543;11818;12227;12403;12869;12839;13117;12898;12912;12978;12963;13059;13011;13143;13403;13442
F-65-Hautes-Pyrenees;29702;30434;31043;31054;31718;32381;33271;33586;34148;34288;35879;36852;36981;38491;38503;38785;39526;39933;39450;39391;39234;39061;38541;38168;38043;37937;37580;37829;37633;37547
F-66-Pyrenees-Orientales;42286;43473;44823;45322;46259;47724;48954;49460;50621;52549;53283;55202;57182;58853;59486;60910;62280;64270;66170;66080;66413;67053;67040;66985;67824;68154;68649;69724;70226;70484
F-81-Tarn;47226;47826;48224;49063;49468;50488;50545;50886;51518;52119;53775;54962;55829;56770;57009;57562;58244;59380;58044;58336;59083;58425;58402;58781;59014;58727;58985;59279;59857;59787
F-82-Tarn-et-Garonne;24497;25502;26070;26536;26265;26802;28005;28571;29373;29967;30560;31491;31631;33015;33596;33916;35056;35870;35933;36254;36884;35852;36391;36677;37059;37239;37595;38239;38833;38669
F-PaysdelaLoire;442771;453995;466742;475516;482472;492770;504172;520228;526975;541497;567755;585988;590228;602671;608633;615308;624017;638816;658179;663618;659639;664891;666603;669754;674148;677000;683067;691906;704227;707372
F-44-Loire-Atlantique;157925;161811;167532;170177;173702;177517;181856;186240;192103;197629;207333;215387;218231;222981;226090;229781;234479;241135;251287;254861;253895;257359;260184;263217;265287;268007;271718;275875;282265;285731
F-49-Maine-et-Loire;104495;107143;109886;110345;112074;114732;117634;125612;121438;125070;129566;131376;132465;133640;135069;136242;137184;140147;143678;145268;144079;144738;145092;145368;145812;145400;146068;147684;149172;149719
F-53-Mayenne;39042;39820;40507;42590;43020;43741;45030;45488;46211;46825;50098;52009;51825;52134;51843;52219;52754;53829;54187;53781;53689;53503;52899;52750;53437;53413;53664;53752;54877;54534
F-72-Sarthe;76234;77828;79258;79840;80182;81677;83213;84978;86730;89424;92440;95373;94665;97843;98446;98513;98828;99782;101269;101174;100508;100580;99293;98787;99314;98941;98814;100026;100918;100189
F-85-Vendee;65075;67393;69559;72564;73494;75103;76439;77910;80493;82549;88318;91843;93042;96073;97185;98553;100772;103923;107758;108534;107468;108711;109135;109632;110298;111239;112803;114569;116995;117199
F-Provence-Alpes-Cote-d'Azur;574888;588632;598768;605300;619082;631205;642122;648310;659844;674711;697196;725168;753449;774975;786605;801126;814751;831094;851349;857750;862333;862989;868080;866565;871489;876580;883634;889627;895131;900802
F-04-Alpes-de-Haute-Provence;15083;15581;15401;15965;16808;17434;17687;17948;18403;18994;19839;20602;21021;21815;22479;22530;23155;23550;24080;24024;24614;24758;24678;24629;24689;24960;24817;25113;25043;24762
F-05-Hautes-Alpes;16396;18121;17815;17134;17913;18299;18885;18949;19439;19909;20279;21171;21873;22712;22818;23339;23832;24152;24357;25390;24962;24754;24828;24613;24912;24654;24537;24538;24725;24536
F-06-Alpes-Maritimes;140973;144270;146783;144972;146632;149895;151101;154095;156960;160424;164878;171835;179513;182784;186158;188374;190686;194812;199048;200109;198526;198553;198952;198547;198359;198092;199218;200835;200202;202048
F-13-Bouches-du-Rhone;250207;252890;257819;261646;267139;272657;276659;278940;283553;288842;299053;310378;321297;330189;332231;337996;343805;349723;358017;360402;363763;364054;366057;366524;370234;374917;380132;382379;386704;390328
F-83-Var;91934;95253;97843;102667;104865;106845;108975;109689;110990;113287;117161;121797;126910;131825;134867;139348;142649;146398;151721;152738;155447;155180;157097;156401;156454;157463;158314;159424;160248;161058
F-84-Vaucluse;60295;62517;63107;62916;65725;66075;68815;68689;70499;73255;75986;79385;82835;85650;88052;89539;90624;92459;94126;95087;95021;95690;96468;95851;96841;96494;96616;97338;98209;98070
